IMTX_NUM,TEAM_ID
300-0651321-2_1,li019532.in
300-0656402-7_1,li019576.in
300-3809925-7_1,li019498.in
300-4016996-5_1,li019498.in
300-4189470-2_1,li019515.in
300-4206007-1_1,li019496.in
300-4209802-2_1,li019498.in
300-4226837-7_1,li019513.in
300-4227397-1_1,li019497.in
300-4235960-6_1,li019510.in
300-4236365-7_1,li019510.in
300-4237681-6_1,li019498.in
300-4241230-6_1,li019502.in
300-4241420-3_1,li019512.in
300-4249172-2_1,li019503.in
300-4254818-2_1,li019503.in
300-4254828-1_1,li019503.in
300-4258533-3_1,li019512.in
300-4258559-8_1,li019512.in
300-4258563-0_1,li019512.in
300-4258564-8_1,li019512.in
300-4258565-5_1,li019512.in
300-4261554-4_1,li019502.in
300-4266641-4_1,li019532.in
300-4267657-9_1,li019512.in
300-4268112-4_1,li019506.in
300-4271423-0_1,li019512.in
300-4273884-1_1,li019549.in
300-4274119-1_1,li019497.in
300-4274167-0_1,li019513.in
300-4274188-6_1,li019513.in
300-4274215-7_1,li019513.in
300-4274254-6_1,li019532.in
300-4274301-5_1,li019506.in
300-4274314-8_1,li019496.in
300-4275145-5_1,li019533.in
300-4275149-7_1,li019499.in
300-4276146-2_1,li019497.in
300-4276947-3_1,li019530.in
300-4277685-8_1,li019512.in
300-4277872-2_1,li019506.in
300-4278575-0_1,li019527.in
300-4280103-7_1,li019501.in
300-4280196-1_1,li019506.in
300-4280649-9_1,li019506.in
300-4280676-2_1,li019512.in
300-4281404-8_1,li019506.in
300-4281422-0_1,li019506.in
300-4281463-4_1,li019506.in
300-4288065-0_1,li019519.in
300-4288311-8_1,li019536.in
300-4289046-9_1,li019530.in
300-4290166-2_1,li019509.in
300-4291859-1_1,li019532.in
300-4293554-6_1,li019513.in
300-4295877-9_1,li019530.in
300-4296006-4_1,li019506.in
300-4296203-7_1,li019513.in
300-4296335-7_1,li019500.in
300-4296359-7_1,li019496.in
300-4296433-0_1,li019513.in
300-4296493-4_1,li019513.in
300-4296942-0_1,li019506.in
300-4297009-7_1,li019498.in
300-4297139-2_1,li019501.in
300-4297213-5_1,li019460_RITM0089149.in
300-4302581-8_1,li019460_RITM0089149.in
300-4303654-2_1,li019502.in
300-4304160-9_1,li019503.in
300-4304511-3_1,li019502.in
300-4304728-3_1,li019502.in
300-4304782-0_1,li019502.in
300-4305548-4_1,li019530.in
300-4305580-7_1,li019504.in
300-4305636-7_1,li019502.in
300-4308914-5_1,li019519.in
300-4308974-9_1,li019507.in
300-4309024-2_1,li019507.in
300-4309161-2_1,li019504.in
300-4309484-8_1,li019496.in
300-4312772-1_1,li019509.in
300-4313701-9_1,li019508.in
300-4313767-0_1,li019506.in
300-4314054-2_1,li019538.in
300-4314131-8_1,li019508.in
300-4315095-4_1,li019500.in
300-4315186-1_1,li019510.in
300-4315659-7_1,li019502.in
300-4315778-5_1,li019538.in
300-4315814-8_1,li019508.in
300-4316063-1_1,li019506.in
300-4316298-3_1,li019510.in
300-4316341-1_1,li019499.in
300-4316954-1_1,li019512.in
300-4317099-4_1,li019514.in
300-4317162-0_1,li019514.in
300-4317260-2_1,li019502.in
300-4317337-8_1,li019514.in
300-4317492-1_1,li019510.in
300-4318889-7_1,li019502.in
300-4318952-3_1,li019504.in
300-4318987-9_1,li019512.in
300-4319051-3_1,li019512.in
300-4319087-7_1,li019542.in
300-4319158-6_1,li019502.in
300-4319313-7_1,li019526.in
300-4319410-1_1,li019508.in
300-4319453-1_1,li019518.in
300-4319875-5_1,li019510.in
300-4320178-1_1,li019522.in
300-4320339-9_1,li019518.in
300-4320366-2_1,li019512.in
300-4320547-7_1,li019520.in
300-4320574-1_1,li019510.in
300-4322154-0_1,li019542.in
300-4322282-9_1,li019502.in
300-4322327-2_1,li019512.in
300-4322382-7_1,li019538.in
300-4323330-5_1,li019502.in
300-4323368-5_1,li019522.in
300-4323503-7_1,li019518.in
300-4323942-7_1,li019512.in
300-4323956-7_1,li019502.in
300-4323965-8_1,li019512.in
300-4343710-4_1,li019512.in
300-4343781-5_1,li019546.in
